Fecha,Hora,Frecuencia cardiaca,Origen
2026.09.13 12:00:00,12:00:00,54,
2026.09.13 12:01:00,12:01:00,65,
2026.09.13 12:03:00,12:03:00,67,
2026.09.13 12:04:00,12:04:00,84,
2026.09.13 12:05:00,12:05:00,61,
2026.09.13 12:06:00,12:06:00,57,
2026.09.13 12:07:00,12:07:00,61,
2026.09.13 12:12:00,12:12:00,63,
2026.09.13 12:13:00,12:13:00,71,
2026.09.13 12:14:00,12:14:00,77,
2026.09.13 12:15:00,12:15:00,55,
2026.09.13 12:16:00,12:16:00,67,
2026.09.13 12:17:00,12:17:00,62,
2026.09.13 12:18:00,12:18:00,75,
2026.09.13 12:19:00,12:19:00,77,
2026.09.13 12:20:00,12:20:00,48,
2026.09.13 12:23:00,12:23:00,57,
2026.09.13 12:30:00,12:30:00,68,
2026.09.13 12:31:00,12:31:00,49,
2026.09.13 12:32:00,12:32:00,49,
2026.09.13 12:39:00,12:39:00,49,
2026.09.13 12:40:00,12:40:00,47,
2026.09.13 12:41:00,12:41:00,47,
2026.09.13 12:48:00,12:48:00,83,
2026.09.13 12:49:00,12:49:00,82,
2026.09.13 12:56:00,12:56:00,46,
2026.09.13 12:57:00,12:57:00,46,
2026.09.13 12:58:00,12:58:00,46,
2026.09.13 13:00:00,13:00:00,46,
2026.09.13 13:01:00,13:01:00,46,
2026.09.13 13:03:00,13:03:00,91,
2026.09.13 13:04:00,13:04:00,96,
2026.09.13 13:06:00,13:06:00,88,
2026.09.13 13:07:00,13:07:00,67,
2026.09.13 13:08:00,13:08:00,79,
2026.09.13 13:09:00,13:09:00,79,
2026.09.13 13:11:00,13:11:00,82,
2026.09.13 13:13:00,13:13:00,84,
2026.09.13 13:16:00,13:16:00,70,
2026.09.13 13:20:00,13:20:00,86,
2026.09.13 13:21:00,13:21:00,79,
2026.09.13 13:22:00,13:22:00,78,
2026.09.13 13:23:00,13:23:00,62,
2026.09.13 13:24:00,13:24:00,63,
2026.09.13 13:26:00,13:26:00,73,
2026.09.13 13:29:00,13:29:00,84,
2026.09.13 13:31:00,13:31:00,81,
2026.09.13 13:33:00,13:33:00,89,
2026.09.13 13:34:00,13:34:00,55,
2026.09.13 13:35:00,13:35:00,59,
2026.09.13 13:36:00,13:36:00,62,
2026.09.13 13:37:00,13:37:00,73,
2026.09.13 13:38:00,13:38:00,61,
2026.09.13 13:42:00,13:42:00,62,
2026.09.13 13:43:00,13:43:00,96,
2026.09.13 13:44:00,13:44:00,84,
2026.09.13 13:45:00,13:45:00,87,
2026.09.13 13:46:00,13:46:00,79,
2026.09.13 13:48:00,13:48:00,84,
2026.09.13 13:49:00,13:49:00,95,
2026.09.13 13:50:00,13:50:00,94,
2026.09.13 13:53:00,13:53:00,90,
2026.09.13 13:55:00,13:55:00,92,
2026.09.13 13:57:00,13:57:00,111,
